source,celltype,gene_id,gene_symbol,gene_symbol_canonical,log2_fold_change,bootstrap_ci_low,bootstrap_ci_high,stratified_permutation_p,n_SLE,n_HC,bootstraps,permutations,seed
generated,B cell,ENSG00000137965,IFI44,IFI44,4.206916067429213,3.322542609627373,5.203036907866724,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000137959,IFI44L,IFI44L,2.8419745906393645,2.20441819110688,3.4136989565683606,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000115267,IFIH1,IFIH1,1.1275374826733466,0.23816069358886893,1.8030050393359822,0.2,30,12,1000,999,20260918
generated,B cell,ENSG00000119922,IFIT2,IFIT2,0.8706306634838376,-0.29576662497237266,1.796256508724124,0.334,30,12,1000,999,20260918
generated,B cell,ENSG00000119917,IFIT3,IFIT3,3.3954272167083563,2.385310100732202,4.435635747752075,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000185885,IFITM1,IFITM1,-0.03543242830271875,-0.34266407508109903,0.2549444986671323,0.882,30,12,1000,999,20260918
generated,B cell,ENSG00000185201,IFITM2,IFITM2,0.2211672648134735,0.07942161705475524,0.3682025059961124,0.048,30,12,1000,999,20260918
generated,B cell,ENSG00000142089,IFITM3,IFITM3,2.221258073062579,1.4577476749872955,2.8845868013108746,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000164136,IL15,IL15,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000077238,IL4R,IL4R,-0.093143710186915,-0.29320472753416255,0.09227313005661499,0.543,30,12,1000,999,20260918
generated,B cell,ENSG00000104432,IL7,IL7,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000185507,IRF7,IRF7,1.1606674273732847,0.7882746227772159,1.4856996504892446,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000187608,ISG15,ISG15,1.321176698595301,0.8902708840601489,1.7327843256991198,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000172183,ISG20,ISG20,0.3197796233837595,0.20118689046171812,0.4358710814997364,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000078081,LAMP3,LAMP3,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000002549,LAP3,LAP3,0.8782988820100835,0.5075355786755892,1.2385136328538648,0.002,30,12,1000,999,20260918
generated,B cell,ENSG00000139679,LPAR6,LPAR6,-0.17571788232525437,-0.8416887640966035,0.5489125516626447,0.677,30,12,1000,999,20260918
generated,B cell,ENSG00000155363,MOV10,MOV10,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000157601,MX1,MX1,1.6835859675288847,1.1790595623191908,2.120003729329806,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000089127,OAS1,OAS1,1.3821315943825383,0.7975701254182008,1.8921009323869544,0.003,30,12,1000,999,20260918
generated,B cell,ENSG00000135114,OASL,OASL,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000059378,PARP12,PARP12,0.23668802552416665,-0.8268694864851243,1.394681721107832,0.864,30,12,1000,999,20260918
generated,B cell,ENSG00000173193,PARP14,PARP14,0.5882832115183637,0.3770899074028338,0.800580982508164,0.002,30,12,1000,999,20260918
generated,B cell,ENSG00000138496,PARP9,PARP9,1.070878567778011,0.5316172251329667,1.575923138073258,0.005,30,12,1000,999,20260918
generated,B cell,ENSG00000188313,PLSCR1,PLSCR1,1.8542715578305111,1.210912951502381,2.398307784163826,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000138035,PNPT1,PNPT1,0.13166122784879247,-0.5005800984541269,0.7924424796873033,0.763,30,12,1000,999,20260918
generated,B cell,ENSG00000104312,RIPK2,RIPK2,0.5748102588482373,-0.23375662381708684,1.4740314958304543,0.241,30,12,1000,999,20260918
generated,B cell,ENSG00000092098,RNF31,RNF31,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000134321,RSAD2,RSAD2,0.547348458134126,-0.24942821491125378,1.255835710511228,0.371,30,12,1000,999,20260918
generated,B cell,ENSG00000205413,SAMD9,SAMD9,0.7480782600481835,0.4424158822801118,1.0496717377780018,0.002,30,12,1000,999,20260918
generated,B cell,ENSG00000177409,SAMD9L,SAMD9L,1.2088527910861773,0.7914692495158916,1.574138694690045,0.001,30,12,1000,999,20260918
generated,B cell,ENSG00000188404,SELL,SELL,0.2802739435774873,0.15078780686939683,0.4154227703673751,0.009,30,12,1000,999,20260918
generated,B cell,ENSG00000135899,SP110,SP110,0.32840063494872823,0.15151654312621005,0.5154904894774436,0.005,30,12,1000,999,20260918
generated,B cell,ENSG00000170581,STAT2,STAT2,0.4117946175265543,-0.00765486155691646,0.7937278397938902,0.076,30,12,1000,999,20260918
generated,B cell,ENSG00000196116,TDRD7,TDRD7,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000146859,TMEM140,TMEM140,0.0,0.0,0.0,1.0,30,12,1000,999,20260918
generated,B cell,ENSG00000135148,TRAFD1,TRAFD1,0.2785229565050716,0.0,0.548794115835535,0.521,30,12,1000,999,20260918
